1,John Doe,25,175.5,8000,320.50
2,Jane Smith,30,145.2,10000,400.00
3,Bob Johnson,40,200.3,9500,390.20
4,Alice Brown,29,160.8,7200,310.70
5,Chris Evans,33,185.1,11000,450.90
6,Nina Patel,27,130.5,9800,375.40
7,Oscar Wright,50,210.2,6700,295.60
8,Lisa Green,22,125.9,8500,340.10
9,Kyle Scott,36,190.0,10400,410.00
10,Maria Gonzalez,28,140.3,9300,385.60
11,Daniel Kim,31,180.2,8700,350.70
12,Samantha Lee,26,135.5,9200,365.20
13,Tony Clark,45,205.6,7500,315.00
14,Lauren Hill,34,150.4,8100,325.30
15,Victor Chen,38,195.7,9900,395.80
16,Rachel Adams,32,142.8,8800,355.00
17,Kevin White,41,198.9,8300,345.90
18,Angela Rivera,24,138.6,10100,402.10
19,Justin Ford,29,176.3,9400,388.20
20,Megan Lewis,37,148.7,7600,312.50
